Dates,RTY Index_Last,RTY Index_Open,RTY Index_High,RTY Index_Low,RTY Index_Volume
2016-09-13,1212.32,1234.552,1234.552,1206.072,286144768
2016-09-14,1211.591,1212.684,1219.929,1209.712,248311600
2016-09-15,1227.023,1211.972,1227.357,1211.105,249574880
2016-09-16,1224.779,1226.956,1227.093,1218.276,843752384
2016-09-19,1232.526,1225.638,1239.977,1225.638,265040176
2016-09-20,1228.33,1233.238,1238.246,1228.127,252269744
2016-09-21,1245.04,1229.615,1245.243,1228.125,289644992
2016-09-22,1263.438,1246.433,1263.46,1246.433,295414528
2016-09-23,1254.623,1262.936,1262.936,1254.562,263382464
2016-09-26,1240.938,1253.948,1253.948,1240.771,249369280
2016-09-27,1246.381,1240.906,1247.122,1238.315,258273776
2016-09-28,1255.666,1246.702,1255.944,1240.59,278915648
2016-09-29,1237.751,1255.589,1255.589,1236.861,268475264
2016-09-30,1251.646,1239.929,1255.708,1238.055,348276928
2016-10-03,1245.784,1251.276,1251.276,1240.971,253290080
2016-10-04,1239.778,1246.023,1249.932,1235.749,232981408
2016-10-05,1248.371,1240.517,1254.088,1240.517,283294176
2016-10-06,1246.239,1247.772,1247.772,1237.414,229048432
2016-10-07,1236.559,1246.367,1247.577,1231.347,272933952
2016-10-10,1250.764,1239.21,1253.809,1239.21,203343840
2016-10-11,1227.623,1249.96,1249.96,1222.566,240957504
2016-10-12,1227.226,1227.668,1232.606,1224.292,203870384
2016-10-13,1215.75,1225.144,1225.144,1209.324,236623520
2016-10-14,1212.408,1217.632,1226.005,1212.258,222346240
2016-10-17,1210.136,1212.418,1215.42,1209.826,197761760
2016-10-18,1217.3,1211.295,1222.203,1211.295,213352240
2016-10-19,1222.642,1217.34,1226.35,1214.05,203866640
2016-10-20,1219.787,1221.986,1222.611,1213.164,222531280
2016-10-21,1218.096,1217.89,1220.028,1208.986,206683952
2016-10-24,1226.448,1219.728,1231.925,1219.728,215816352
2016-10-25,1216.104,1225.895,1226.161,1214.811,218668160
2016-10-26,1204.749,1214.49,1216.078,1203.119,234800032
2016-10-27,1189.947,1205.745,1208.184,1188.753,282095808
2016-10-28,1187.613,1190.064,1196.239,1185.483,272940288
2016-10-31,1191.388,1187.874,1192.981,1185.166,310265952
2016-11-01,1177.943,1191.771,1194.483,1170.871,291950880
2016-11-02,1162.525,1177.772,1177.772,1161.851,291667936
2016-11-03,1156.885,1164.474,1168.134,1156.085,300553632
2016-11-04,1163.439,1157.189,1174.777,1156.922,305281312
2016-11-07,1192.252,1164.575,1193.392,1164.575,296870752
2016-11-08,1195.144,1192.038,1200.215,1184.845,255585728
2016-11-09,1232.162,1194.343,1233.664,1188.434,446842784
2016-11-10,1251.608,1235.857,1258.483,1234.017,460434272
2016-11-11,1282.394,1251.517,1282.822,1250.83,423373088
2016-11-14,1298.595,1283.028,1306.561,1283.028,345504608
2016-11-15,1302.144,1298.516,1304.384,1290.445,308238080
2016-11-16,1302.2,1300.692,1304.977,1296.107,284497920
2016-11-17,1309.484,1302.864,1313.056,1302.864,280627776
2016-11-18,1315.642,1309.735,1316.215,1308.436,310697696
2016-11-21,1322.234,1317.408,1323.721,1313.674,255455776
2016-11-22,1334.341,1322.458,1334.831,1322.458,274913120
2016-11-23,1342.094,1333.763,1342.353,1326.948,239390128
2016-11-24,1342.094,1333.763,1342.353,1326.948,239390128
2016-11-25,1347.203,1342.203,1347.204,1340.663,116980216
2016-11-28,1329.828,1346.879,1347.203,1328.58,238998320
2016-11-29,1328.219,1329.906,1335.44,1327.02,296231392
2016-11-30,1322.339,1329.761,1337.33,1320.955,384459456
2016-12-01,1313.803,1322.761,1331.731,1308.85,345498144
2016-12-02,1314.253,1313.578,1319.352,1311.52,266936384
2016-12-05,1337.786,1314.981,1338.228,1314.981,293993056
2016-12-06,1352.668,1338.054,1353.568,1334.3,294348544
2016-12-07,1364.506,1352.103,1366.605,1347.841,290536288
2016-12-08,1386.368,1364.426,1386.448,1363.696,340124128
2016-12-09,1388.073,1386.664,1392.714,1383.237,310319808
2016-12-12,1373.142,1387.776,1388.532,1370.79,310923808
2016-12-13,1373.534,1373.344,1382.444,1367.924,309632704
2016-12-14,1356.024,1372.077,1374.536,1354.073,290887168
2016-12-15,1366.414,1356.444,1374.825,1354.466,320519584
2016-12-16,1364.189,1366.927,1379.03,1362.075,971976192
2016-12-19,1371.684,1364.785,1375.59,1364.785,268059152
2016-12-20,1383.956,1372.073,1385.056,1372.073,274021152
2016-12-21,1375.193,1383.634,1384.36,1375.193,226311456
2016-12-22,1362.659,1374.954,1375.457,1360.254,237415536
2016-12-23,1371.51,1362.628,1371.51,1362.556,187727568
2016-12-26,1371.51,1362.628,1371.51,1362.556,187727568
2016-12-27,1377.707,1371.585,1381.975,1371.585,173423360
2016-12-28,1360.825,1377.784,1379.266,1359.222,202556768
2016-12-29,1363.177,1360.924,1367.447,1357.392,192199600
2016-12-30,1357.13,1363.589,1364.981,1353.92,259801296
2017-01-02,1357.13,1363.589,1364.981,1353.92,259801296
2017-01-03,1365.492,1357.985,1375.085,1355.395,295646080
2017-01-04,1387.954,1366.701,1388.599,1366.701,318657824
2017-01-05,1371.936,1387.705,1387.705,1366.571,257434032
2017-01-06,1367.281,1372.487,1375.064,1366.816,259725504
2017-01-09,1357.491,1367.133,1367.133,1356.545,293273952
2017-01-10,1370.904,1357.743,1371.5,1357.743,303181376
2017-01-11,1373.3,1370.888,1375.539,1365.14,260039168
2017-01-12,1361.066,1372.84,1372.84,1346.815,247771792
2017-01-13,1372.047,1361.382,1376.174,1361.382,230913264
2017-01-16,1372.047,1361.382,1376.174,1361.382,230913264
2017-01-17,1352.324,1371.513,1371.513,1351.503,254484528
2017-01-18,1358.556,1352.738,1358.839,1350.812,219443280
2017-01-19,1345.744,1358.827,1360.757,1342.141,239428160
