Dates,BCOM Index_Last,BCOM Index_Open,BCOM Index_High,BCOM Index_Low
2001-01-02,111.4511,113.141,113.144,111.4511
2001-01-03,111.5056,111.152,112.069,111.152
2001-01-04,113.2662,111.7,113.814,111.7
2001-01-05,113.8326,113.799,114.362,113.799
2001-01-08,114.6617,114.862,115.627,114.6617
2001-01-09,115.0856,114.879,115.111,114.879
2001-01-10,115.5499,114.981,115.668,114.981
2001-01-11,114.7323,115.098,115.273,114.7323
2001-01-12,115.0255,114.789,115.025,114.789
2001-01-15,115.0255,114.789,115.025,114.789
2001-01-16,114.053,114.557,114.754,114.053
2001-01-17,112.7037,113.696,113.756,112.7037
2001-01-18,114.0237,113.252,114.125,113.252
2001-01-19,115.2254,114.307,115.241,114.307
2001-01-22,115.4782,115.525,116.228,115.4782
2001-01-23,114.366,115.272,115.335,114.366
2001-01-24,113.6592,113.716,114.132,113.6592
2001-01-25,113.8642,113.803,114.297,113.803
2001-01-26,114.0719,113.765,114.253,113.765
2001-01-29,112.1677,114.077,114.087,112.1677
2001-01-30,112.3656,112.364,112.656,112.364
2001-01-31,111.3745,112.318,112.351,111.3745
2001-02-01,113.4645,111.351,113.478,111.351
2001-02-02,115.2944,113.652,115.419,113.652
2001-02-05,113.2027,114.406,114.428,113.2027
2001-02-06,113.1556,113.111,113.443,113.111
2001-02-07,114.0916,113.354,114.092,113.354
2001-02-08,113.8385,114.276,114.68,113.8385
2001-02-09,113.1022,113.807,113.811,113.1022
2001-02-12,112.292,112.798,112.814,112.292
2001-02-13,112.5776,112.203,112.578,112.203
2001-02-14,111.8473,112.427,112.831,111.8473
2001-02-15,110.9273,111.847,111.847,110.9273
2001-02-16,111.3535,111.142,111.445,111.142
2001-02-19,111.3535,111.142,111.445,111.142
2001-02-20,110.839,111.571,111.646,110.839
2001-02-21,110.3787,110.898,110.951,110.3787
2001-02-22,110.2016,110.622,110.951,110.2016
2001-02-23,110.4648,110.328,110.826,110.328
2001-02-26,110.1503,110.591,110.614,110.1503
2001-02-27,110.4852,110.135,110.683,110.135
2001-02-28,110.4787,110.562,111.321,110.4787
2001-03-01,110.7465,110.662,111.01,110.662
2001-03-02,111.1243,110.972,111.394,110.972
2001-03-05,112.12,111.467,112.589,111.467
2001-03-06,112.0072,112.109,112.261,112.0072
2001-03-07,112.3398,112.175,112.34,112.175
2001-03-08,111.4649,112.211,112.296,111.4649
2001-03-09,111.0209,111.584,111.718,111.0209
2001-03-12,110.9966,110.535,111.018,110.535
2001-03-13,110.21,110.45,110.512,110.21
2001-03-14,108.2545,109.995,110.003,108.2545
2001-03-15,107.485,108.239,108.354,107.485
2001-03-16,107.0317,107.701,107.911,107.0317
2001-03-19,106.6231,107.378,107.387,106.6231
2001-03-20,106.7731,106.904,107.668,106.7731
2001-03-21,107.0288,106.65,107.108,106.65
2001-03-22,106.5006,106.73,107.192,106.5006
2001-03-23,107.6734,106.99,107.868,106.99
2001-03-26,108.2263,107.945,108.405,107.945
2001-03-27,109.1551,108.464,109.39,108.464
2001-03-28,106.8976,108.614,108.813,106.8976
2001-03-29,106.6572,106.929,107.071,106.6572
2001-03-30,105.3717,106.569,107.024,105.3717
2001-04-02,104.9252,105.395,105.708,104.9252
2001-04-03,105.8213,105.227,105.966,105.227
2001-04-04,107.4805,106.622,107.559,106.622
2001-04-05,107.993,107.671,108.352,107.671
2001-04-06,107.2951,107.819,107.839,107.2951
2001-04-09,107.8337,107.519,108.293,107.519
2001-04-10,109.0299,108.714,109.358,108.714
2001-04-11,108.9696,108.894,109.16,108.894
2001-04-12,109.1958,109.085,109.785,109.085
2001-04-13,109.1958,109.085,109.785,109.085
2001-04-16,110.2487,109.347,110.326,109.347
2001-04-17,109.3811,109.956,110.029,109.3811
2001-04-18,109.3899,108.91,109.39,108.91
2001-04-19,108.7943,109.276,109.33,108.7943
2001-04-20,108.2567,109.035,109.091,108.2567
2001-04-23,107.9292,108.3,108.3,107.9292
